Quantity,Part Number,Customer Reference,Description
33,1N4148W-7-F,D 1N4148W,DIODE STANDARD 100V 300MA SOD-123 SMD
10,RC1206FR-074K7L,R 4k7,RES 4.7K OHM 1% 1/4W 1206 SMD
6,RC1206FR-0710KL,R 10k,RES 10K OHM 1% 1/4W 1206 SMD
2,RC1206FR-071ML,R 1M,RES 1M OHM 1% 1/4W 1206 SMD
2,RC1206FR-071KL,R 1k,RES 1K OHM 1% 1/4W 1206 SMD
1,RC1206FR-0722KL,R 22k,RES 22K OHM 1% 1/4W 1206 SMD
3,C1206C104K5RACTU,C 100n,CAP CER 0.1UF 50V X7R 1206 SMD
1,C1206C106K8PACTU,C 10uF,CAP CER 10UF 10V X5R 1206 SMD
10,WP710A10ID,D LED 3MM,LED RED DIFFUSED 3MM T-1 THROUGH HOLE
2,CD4050BE,IC CD4050B,IC BUFFER NON-INVERTING HEX 16-DIP
1,CD40106BE,IC CD40106B,IC INVERTER SCHMITT TRIGGER HEX 14-DIP
1,MMBT3904LT1G,Q MMBT3904,TRANS NPN 40V 200MA SOT-23 SMD
2,SBH11-PBPC-D08-ST-BK,J 2X8 IDC,CONN HEADER SHROUDED 2X8 2.54MM - PULSES IN AND CHAIN THRU
